Country,Year,phi
Italy,1872,0.4877581308
Italy,1873,0.4938016119
Italy,1874,0.49304059159999997
Italy,1875,0.49161307285
Italy,1876,0.49101023754999995
Italy,1877,0.49262927125000006
Italy,1878,0.4931126659
Italy,1879,0.4935047147
Italy,1880,0.48944065495
Italy,1881,0.4925395911
Italy,1882,0.49150482970000003
Italy,1883,0.49610238989999994
Italy,1884,0.496408268
Italy,1885,0.4986557171
Italy,1886,0.497550904
Italy,1887,0.49726470815
Italy,1888,0.49527794329999997
Italy,1889,0.49651479055
Italy,1890,0.49602512099999996
Italy,1891,0.496569951
Italy,1892,0.495966416
Italy,1893,0.49409325765
Italy,1894,0.49493926815
Italy,1895,0.49197177475
Italy,1896,0.4917829482
Italy,1897,0.49578549505
Italy,1898,0.4930363463
Italy,1899,0.49445961434999997
Italy,1900,0.4946078871
Italy,1901,0.49215263834999995
Italy,1902,0.49313907895000003
Italy,1903,0.4911064577
Italy,1904,0.49224801205
Italy,1905,0.4915688375
Italy,1906,0.49079665499999997
Italy,1907,0.49140294445
Italy,1908,0.48850052665
Italy,1909,0.48461272915000003
Italy,1910,0.4883060849
Italy,1911,0.49252390715
Italy,1912,0.48759658525
Italy,1913,0.48900336525
Italy,1914,0.48699724930000005
Italy,1915,0.42610260065
Italy,1916,0.39430509365000005
Italy,1917,0.36052350445000003
Italy,1918,0.46195709864999995
Italy,1919,0.4409149643
Italy,1920,0.4869227298
Italy,1921,0.48278020535
Italy,1922,0.48371504315
Italy,1923,0.48347091365
Italy,1924,0.4785102081
Italy,1925,0.4742985964
Italy,1926,0.47732993905
Italy,1927,0.47819461199999996
Italy,1928,0.47535305195
Italy,1929,0.47330493445000005
Italy,1930,0.4701317444
Italy,1931,0.47037243455
Italy,1932,0.46706142315
Italy,1933,0.46702896205000005
Italy,1934,0.4656562218
Italy,1935,0.46508647465
Italy,1936,0.46083813325
Italy,1937,0.46229246765000004
Italy,1938,0.46228123395
Italy,1939,0.46122070169999996
Italy,1940,0.44766820335
Italy,1941,0.42252455505000003
Italy,1942,0.39689730795
Italy,1943,0.3717073187
Italy,1944,0.39774584025000004
Italy,1945,0.41897992219999997
Italy,1946,0.4547942119
Italy,1947,0.4510633344
Italy,1948,0.45428083985
Italy,1949,0.45280182005
Italy,1950,0.44316415400000003
Italy,1951,0.43949283465
Italy,1952,0.43690062885
Italy,1953,0.4346207017
Italy,1954,0.42874263085
Italy,1955,0.4243000372
Italy,1956,0.4184884881
Italy,1957,0.41481612625000003
Italy,1958,0.413911141
Italy,1959,0.41205427009999995
Italy,1960,0.40501454109999996
Italy,1961,0.40074108375
Italy,1962,0.39723781585
Italy,1963,0.39434766460000004
Italy,1964,0.3912126052
Italy,1965,0.3894410322
Italy,1966,0.3875867267
Italy,1967,0.3865762133
Italy,1968,0.38278570370000004
Italy,1969,0.3779781068
Italy,1970,0.38051019085
Italy,1971,0.37677061615
Italy,1972,0.37432316685
Italy,1973,0.37233610759999997
Italy,1974,0.367869544
Italy,1975,0.3617085321
Italy,1976,0.3597540142
Italy,1977,0.35577008844999997
Italy,1978,0.35259812435
Italy,1979,0.35082782214999997
Italy,1980,0.35043228190000003
Italy,1981,0.35075930215
Italy,1982,0.3524493601
Italy,1983,0.35039883805000005
Italy,1984,0.3506436462
Italy,1985,0.35107247999999996
Italy,1986,0.35105906175
Italy,1987,0.35117234505
Italy,1988,0.3516245603
Italy,1989,0.3514542584
Italy,1990,0.35125213154999996
Italy,1991,0.35031167435000005
Italy,1992,0.3515548416
Italy,1993,0.35214270085000005
Italy,1994,0.35150691815
Italy,1995,0.35123080825
Italy,1996,0.3530884238
Italy,1997,0.35342516235
Italy,1998,0.35326562780000004
Italy,1999,0.3537396732
Italy,2000,0.3568029571
Italy,2001,0.35665091695
Italy,2002,0.3581504293
Italy,2003,0.36119725705
Italy,2004,0.35954535135
Italy,2005,0.3618410869
Italy,2006,0.36333067035
Italy,2007,0.3663345788
Italy,2008,0.36759562125
Italy,2009,0.37036519455
Italy,2010,0.37017319215
Italy,2011,0.37320968285
Italy,2012,0.37521366315
Italy,2013,0.37628837285
Italy,2014,0.3779952918
Italy,2015,0.38265250485
Italy,2016,0.38154812005
Italy,2017,0.38371102195
Italy,2018,0.3858358306
Italy,2019,0.3865184903
Italy,2020,0.37532783245
