game_year,game_season,average_age
1896,Summer,23.46875
1900,Summer,24.804054054054053
1904,Summer,23.686131386861312
1908,Summer,26.829268292682926
1912,Summer,26.74905422446406
1920,Summer,27.169590643274855
1924,Summer,26.055248618784532
1924,Winter,26.402173913043477
1928,Summer,24.23196881091618
1928,Winter,25.150943396226417
1932,Summer,23.769411764705882
1932,Winter,25.32967032967033
1936,Summer,25.541879096868172
1936,Winter,24.892537313432836
1948,Summer,27.044233807266984
1948,Winter,26.25542168674699
1952,Summer,26.092581602373887
1952,Winter,25.463483146067414
1956,Summer,24.403980099502487
1956,Winter,24.48621553884712
1960,Summer,25.3365
1960,Winter,22.94242424242424
1964,Summer,24.70693641618497
1964,Winter,23.762172284644194
1968,Summer,24.524590163934427
1968,Winter,23.40893470790378
1972,Summer,25.232225494320573
1972,Winter,23.0083857442348
1976,Summer,24.240437158469945
1976,Winter,22.703508771929826
1980,Summer,23.76901874310915
1980,Winter,22.95625
1984,Summer,24.34216552175335
1984,Winter,22.49397590361446
1988,Summer,23.949985871715175
1988,Winter,23.364973262032084
1992,Summer,24.279118572927597
1992,Winter,23.48207171314741
1994,Winter,22.992565055762082
1996,Summer,24.641632016632016
1998,Winter,23.740458015267176
2000,Summer,24.506176154672396
2002,Winter,24.449838187702266
2004,Summer,24.48926802421574
2006,Winter,24.04191616766467
2008,Summer,24.54499237417387
2010,Winter,24.269005847953217
2012,Summer,24.72657450076805
2014,Winter,23.97852233676976
2016,Summer,25.212357090732183
2018,Winter,23.990791896869244
2020,Summer,25.348387096774193
2022,Winter,24.485333333333333
